urn,author,date
urn:cts:greekLit:tlg2463,"Artavasdes, Armenien, König, ca. v1. Jh",100 BCE
urn:cts:greekLit:tlg0553,"Artemidorus, Daldianus",200 CE
urn:cts:greekLit:tlg2651,Artemidorus Elegist,
urn:cts:greekLit:tlg0135,"Artemidorus, Tarsensis, d 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0136,"Artemon, Epigrammaticus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1197,"Artemon, Cassandreus",200 BCE/100 BCE
urn:cts:greekLit:tlg2307,"Artemon, Clazomenius, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg2392,"Artemon, Pergamenus, 2. Jh. v. Chr.",200 CE
urn:cts:greekLit:tlg1483,Ascension of Isaiah,300 CE
urn:cts:greekLit:tlg1955,"Asclepiades, Arius, v4./3. Jh.",400 BCE-300 BCE
urn:cts:greekLit:tlg1198,"Asclepiades, Cyprius, v. 3 Jh.",300 CE
urn:cts:greekLit:tlg0137,"Asclepiades, of Samos",400 BCE-300 BCE
urn:cts:greekLit:tlg0681,"Asclepiades, Iunior, 1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg2423,"Asclepiades, Mendesius, v1. Jh. / 1. Jh",100 BCE-100 CE
urn:cts:greekLit:tlg1199,"Asclepiades, Myrleanus, 1. Jh. v. Chr.",200 BCE-100 BCE
urn:cts:greekLit:tlg0811,"Asclepiades, of Bithynia, ca. 130-ca. 40 B.C.",200 BCE-100 BCE
urn:cts:greekLit:tlg1200,"Asclepiades, Tragilensis, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0556,Asclepiodotus Tacticus,100 BCE
urn:cts:greekLit:tlg4018,"Asclepius, of Tralles",600 CE
urn:cts:greekLit:tlg2122,"Asinius Quadratus, Gaius, 3. Jh. n. Chr",300 CE
urn:cts:greekLit:tlg0242,Asius Samius 6. Jh. v. Chr.,600 BCE
urn:cts:greekLit:tlg2609,"Asopodorus, Philasius",400 BCE/300 BCE
urn:cts:greekLit:tlg0615,Aspasius,200 CE
urn:cts:greekLit:tlg2529,"Aspasius, Byblius, 2. Jh",200 CE
urn:cts:greekLit:tlg2060,"Asterius, of Amasea, Saint, approximately 350-approximately 410",400 CE-500 CE
urn:cts:greekLit:tlg2061,"Asterius, the Sophist, -approximately 341",400 CE
urn:cts:greekLit:tlg2642,Astrampsychus,300 CE
urn:cts:greekLit:tlg0325,"Astydamas, Tragicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg2207,"Athanadas, Historicus",
urn:cts:greekLit:tlg2387,"Athanis, Syracusanus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg2035,"Athanasius Saint, Patriarch of Alexandria d. 373",400 CE
urn:cts:greekLit:tlg2379,"Athenacon, Historicus, v4. Jh",400 BCE
urn:cts:greekLit:tlg0141,"Athenaeus, Naucratites, 2./3. Jh.",200 CE-300 CE
urn:cts:greekLit:tlg0008,"Athenaeus, of Naucratis",200 CE-300 CE
urn:cts:greekLit:tlg1204,"Athenaeus, 2nd cent. B.C.?",200 BCE-100 BCE
urn:cts:greekLit:tlg0682,"Athenaeus, Attalensis, 1. Jh. v. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg2465,"Athenaeus Historicus v1. Jh.",100 BCE
urn:cts:greekLit:tlg1205,"Athenagoras, active 2nd century",200 CE
urn:cts:greekLit:tlg0422,"Athenio, Comicus, 3./2. Jh. v. Chr.",300 BCE-100 BCE
urn:cts:greekLit:tlg1206,"Athenodorus, Tarsensis, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg1207,"Attalus, Rhodius, 2. Jh. v. Chr.",200 CE
urn:cts:greekLit:tlg1208,"Atticus, active 2nd century",200 CE
urn:cts:greekLit:tlg2505,"Aufidius, Gnaeus, v2./1. Jh",200 BCE-100 BCE
urn:cts:greekLit:tlg1782,Augeas Comicus,Unknown
urn:cts:greekLit:tlg0127,Aulus Licinius Archias Epigr.,
urn:cts:greekLit:tlg2643,"Ausonius, Decimus Magnus",400 CE
urn:cts:greekLit:tlg2205,Autesion,300 BCE-200 BCE
urn:cts:greekLit:tlg2175,"Autocharis, Historicus, Person der Antike",Unknown
urn:cts:greekLit:tlg0423,"Autocrates, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg2204,"Autocrates, Historicus",300 BCE-200 BCE
urn:cts:greekLit:tlg1210,"Autolycus, 2nd cent.",400 BCE
urn:cts:greekLit:tlg0140,"Automedon, Cyzicenus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0424,"Axionicus, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0614,Babrius,200 CE
urn:cts:greekLit:tlg0142,Bacis Eleus,600 BCE-500 BCE
urn:cts:greekLit:tlg2136,"Bacchius, Senex , 3./4. Jh. n. Chr.",300 CE-400 CE
urn:cts:greekLit:tlg0199,Bacchylides,500 BCE
urn:cts:greekLit:tlg1211,"Balagrus, Historicus, v2. Jh",200 BCE
urn:cts:greekLit:tlg1213,"Iulia, Balbilla, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg1215,"Balbillus, Astrologus, 1. Jh. n. Chr",100 CE
urn:cts:greekLit:tlg4051,"Johannes, Barbucallus, um 550",600 CE
urn:cts:greekLit:tlg1216,Barnabae epistula,100 CE_200 CE
urn:cts:greekLit:tlg2398,"Basilides, Scythopolitanus, ca. 3. Jh. n. Chr",300 CE
urn:cts:greekLit:tlg1218,"Basilis, Historicus, v3./2. Jh",300 BCE-200 BCE
urn:cts:greekLit:tlg2084,"Basil, of Ancyra, Bishop of Ankara, -approximately 364",400 CE
urn:cts:greekLit:tlg2040,"Basil Saint, Bishop of Caesarea approximately 329-379",400 CE
urn:cts:greekLit:tlg2800,Basilius Seleucensis -468,500 CE
urn:cts:greekLit:tlg0425,"Bato, Comicus, d 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1219,"Bato, Sinopensis, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg1220,Battle of the Frogs and Mice,200 BCE-100 BCE
urn:cts:greekLit:tlg2152,"Bemarchius, Caesariensis, 4. Jh",400 CE
urn:cts:greekLit:tlg1222,"Berosus, the Chaldean",400 BCE-300 BCE
urn:cts:greekLit:tlg0144,"Besantinus, Epigrammaticus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0145,"Bianor, Bithynius, um 17 n. Chr.",100 CE
urn:cts:greekLit:tlg1223,"Bias, Prienaeus, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg2153,"Bion, of Abdera",300 BCE
urn:cts:greekLit:tlg0036,"Bion, of Phlossa near Smyrna",100 BCE?
urn:cts:greekLit:tlg1871,Bion Proconnesius 3. Jh. n. Chr,400 BCE-300 BCE
urn:cts:greekLit:tlg1225,"Bion, Solensis, v3. Jh",300 BCE
urn:cts:greekLit:tlg0348,"Biotus, Tragicus, ca. 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg1792,"Biottus, Comicus, post 2.B.C.",200 BCE
urn:cts:greekLit:tlg1226,"Biton, Mechanicus, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg1227,"Blaesus, Capreensis, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg1228,"Boeo, Epica, 2. Jh. v. Chr. bzw. 4. Jh. n. Chr.",200 BCE-400 CE
urn:cts:greekLit:tlg1229,"Boeo, Epica, 2. Jh. v. Chr. bzw. 4. Jh. n. Chr.",200 BCE-400 CE
urn:cts:greekLit:tlg0146,"Boethus, Tarsensis, d 1. Jh. v. Chr./1. Jh. n. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg2397,"Boethus, Stoicus, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg2230,Boidas,500 BCE
urn:cts:greekLit:tlg1900,"Botryas, Myndius, ca. 2.Jh.n.Chr",200 CE
urn:cts:greekLit:tlg1230,Brotinus,300 BCE_200 BCE
urn:cts:greekLit:tlg1803,"Brutus, Marcus Junius, d. 85?-42 B.C.",100 BCE
urn:cts:greekLit:tlg2611,"Butas, Epigrammaticus, 1. Jh. v. Chr",100 BCE
urn:cts:greekLit:tlg1232,"Butherus, Cyzicenus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0721,Anonymi Medici (Caelius Aurelianus-attributed work),500 CE?
urn:cts:greekLit:tlg2338,"Cadmus, Milesius, 6./5. Jh. v. Chr",600 BCE-500 BCE
urn:cts:greekLit:tlg1233,Caecilius Calactinus,100 BCE-100 CE
urn:cts:greekLit:tlg0040,Calanus Epistolographus,
urn:cts:greekLit:tlg0147,"Calleas, Epigrammaticus, Person der Antike",Unknown
urn:cts:greekLit:tlg0426,"Callias, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1235,"Callias, Syracusanus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg1783,"Callicrates, Comicus, Person der Antike",Unknown
urn:cts:greekLit:tlg1236,Callicrates Periegeta,
urn:cts:greekLit:tlg1940,"Calliacrates, Tyrius, 3./4. Jh. n. Chr",300-400 CE
urn:cts:greekLit:tlg1238,"Callicrates, Astrologus, Person der Antike",Unknown
urn:cts:greekLit:tlg1237,"Callicratidas, Philosophus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0148,"Callicter, Epigrammaticus, 1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg0533,Callimachus,400 BCE-300 BCE
urn:cts:greekLit:tlg1996,"Callimorphus, Historicus",200 CE
urn:cts:greekLit:tlg2189,"Callinicus, 3rd cent.",300 CE
urn:cts:greekLit:tlg2770,"Callinicus, Monk of Rufinianae, fl. 447-450",500 CE
urn:cts:greekLit:tlg0243,"Callinus, of Ephesus",700 BCE
urn:cts:greekLit:tlg2218,Calliphon et Democedes,600 BCE
urn:cts:greekLit:tlg0427,"Callippus Comicus, 3./2. Jh. v. Chr",300 BCE-200 BCE
urn:cts:greekLit:tlg2270,"Callippus, Corinthius, ca. 2.Jh.n.Chr",ante 200 CE
urn:cts:greekLit:tlg1386,"Callisthenes, Pseudo \ Historia Alexandri Magni",300 CE-1700 CE
urn:cts:greekLit:tlg0534,"Callisthenes, of Olynthus, approximately 370 B.C.-approximately 328 B.C",400 BCE
urn:cts:greekLit:tlg1239,"Callistratus, Domitius, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg4091,"Callistratus, 3rd or 4th cent.",300 CE-400 CE
urn:cts:greekLit:tlg1845,"Callistratus, Tragicus v5. Jh.",500 BCE
urn:cts:greekLit:tlg1240,"Callixenus, Rhodius, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg2504,"Candidus, Isauricus, 5. Jh. n. Chr.",500 CE
urn:cts:greekLit:tlg0428,"Cantharus, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg0149,Capito Epigrammaticus,unknown
urn:cts:greekLit:tlg2506,Capito Lycius,500 CE-600 CE
urn:cts:greekLit:tlg0310,"Carcinus, Atheniensis, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg0327,Carcinus Tragicus um 380/376 v. Chr,500 BCE-400 BCE
urn:cts:greekLit:tlg0295,"Carmina Popularia",
urn:cts:greekLit:tlg1244,"Carneiscus, 3rd/2nd cent. B.C.",300 BCE-200 BCE
urn:cts:greekLit:tlg0150,"Carphyllides, Epigrammaticus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1245,"Carystius, Pergamenus, um 125/120 v. Chr.",200 BCE
urn:cts:greekLit:tlg0733,"Cassius Iatrosophista, 2nd cent.",200 CE-300 CE
urn:cts:greekLit:tlg0382,"Castorion, Solensis, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg1247,"Cebes, of Thebes",100 CE
urn:cts:greekLit:tlg1248,"Celsus, Platonic philosopher, fl. 180",200 CE
urn:cts:greekLit:tlg9013,"Cephalas, Constantinus, active 9th century-10th century",900 CE-1000 CE
urn:cts:greekLit:tlg1249,"Cephalion, Historicus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0429,"Cephisodorus, Comicus, 5./4. Jh. v. Chr",500 BCE-400 BCE
urn:cts:greekLit:tlg1927,"Cephisodorus, Thebanus, 4. Jh. v. Chr",400 BCE
urn:cts:greekLit:tlg1250,"Cercidas, Megalopolitanus ca. ca. 290-220 v.Chr.",300 BCE
urn:cts:greekLit:tlg2286,"Cercops, Philosophus",600 BCE
urn:cts:greekLit:tlg0151,"Cerealius, Epigrammaticus, 1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg1252,Certamen Homeri et Hesiodi,300 BCE-200 CE
urn:cts:greekLit:tlg2424,"Chaeremon, of Alexandria",
urn:cts:greekLit:tlg0152,Chaeremon Epigrammaticus,400 BCE-300 BCE
urn:cts:greekLit:tlg0328,"Chaeremon, Tragicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1795,"Chaerion, Comicus, Person der Antike",200 BCE
urn:cts:greekLit:tlg1251,"Chamaeleon, of Heraclea Pontica",400 BCE
urn:cts:greekLit:tlg1302,"Demetrius, of Phaleron, b. ca. 350 B.C. (attributed author)",400 BCE
urn:cts:greekLit:tlg1254,"Charax, of Pergamum, 2nd cent.",200 CE
urn:cts:greekLit:tlg1255,"Chares, Mytilenensis, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1256,"Chares, Iambographus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0430,"Chariclides, Comicus, Person der Antike",Unknown
urn:cts:greekLit:tlg2263,"Charicles, Historicus, ca. 3.Jh.n.Chr",300 CE
urn:cts:greekLit:tlg1257,Charinus Lyricus v1. Jh,100 BCE
urn:cts:greekLit:tlg0554,Chariton of Aphrodisios,100 CE-200 CE
urn:cts:greekLit:tlg0829,"Charixenes, Medicus, 1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg1258,"Charon, Lampsacenus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg2421,"Charon, Naucratites, 4. Jh. v. Chr",400 BCE
urn:cts:greekLit:tlg1259,"Charondas, 6th cent. B.C.",600 BCE
urn:cts:greekLit:tlg1260,"Chersias, Epicus, 7./6. Jh. v. Chr",700 BCE-600 BCE
urn:cts:greekLit:tlg1261,"Chilon, Lyricus, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg0041,"Chion, of Heraclea",
urn:cts:greekLit:tlg0431,"Chionides, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1263,"Choerilus, of Samos",500 BCE
urn:cts:greekLit:tlg1262,Choerilus Iasensis v4. Jh.,400 BCE
urn:cts:greekLit:tlg0302,Choerilus Atheniensis um 500 v. Chr.,500 BCE
urn:cts:greekLit:tlg4093,"Choeroboscus, Georgius",900 CE
urn:cts:greekLit:tlg4094,"Choricius, Gazaeus, um 526/40",600 CE
urn:cts:greekLit:tlg2119,"Christodōros, fl. 5th cent",500 CE-600 CE
urn:cts:greekLit:tlg1922,"Chryserus, Historicus, 2. Jh",200 CE
urn:cts:greekLit:tlg2195,"Chrysermus, Corinthius, 1./2. Jh",100 CE-200 CE
urn:cts:greekLit:tlg2559,"Chrysippus, Historicus, ca. 1.Jh.v.Chr",100 BCE
urn:cts:greekLit:tlg1264,"Chrysippus, ca. 280-207 or 6 B.C.",300 BCE
urn:cts:greekLit:tlg1265,"Chrysippus, Tyanensis, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2165,"Cicero, Marcus Tullius",100 BCE
urn:cts:greekLit:tlg2543,"Cincius Alimentus, L. (Lucius), fl. 210 B.C.",200 BCE
urn:cts:greekLit:tlg0375,"Cinesias, Atheniensis, 5./4. Jh. v. Chr",500 BCE-400 BCE
urn:cts:greekLit:tlg2417,"Cineas, Thessalius, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg4056,"Claudianus, Claudius.",400 CE
urn:cts:greekLit:tlg4057,"Claudianus, Epigrammaticus, 5. Jh. n. Chr. (unter Theodosius II.)",500 CE
urn:cts:greekLit:tlg1971,"Claudius, Eusthenius, 4. Jh",400 CE
urn:cts:greekLit:tlg1268,"Claudius, Iolaus,  1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0332,"Cleaenetus, Tragicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1269,"Cleanthes, d 331-232 B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg0432,"Clearchus, Comicus,  4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1270,Clearchus of Soli,400 BCE-300 BCE
urn:cts:greekLit:tlg2147,"Clemens, Historicus, Person der Antike",Unknown
urn:cts:greekLit:tlg0555,"Clement, of Alexandria, Saint, ca. 150-ca. 215",200 CE-300 CE
urn:cts:greekLit:tlg1271,"Clement, I, Pope",100 CE
urn:cts:greekLit:tlg0244,"Cleobulina, Lyrica, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg1274,"Cleobulus, Lindius, 7./6. Jh. v. Chr.",700 BCE-600 BCE
urn:cts:greekLit:tlg2614,"Cleomachus, Magnes, ca. 2.Jh.n.Chr",Ante 200 CE
urn:cts:greekLit:tlg1272,Cleomedes,100 BCE-400 CE
urn:cts:greekLit:tlg0900,"Cleomenes, Rheginus, 5. Jh. v. Chr",500 BCE
urn:cts:greekLit:tlg1273,"Cleon, Curiensis, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0361,"Cleonides, 2nd cent.",200 CE
urn:cts:greekLit:tlg0684,"Kleopatra VII, Ägypten, Königin, v69-v30",100 BCE
urn:cts:greekLit:tlg1087,"Cleophon, Atheniensis v4. Jh",400 BCE
urn:cts:greekLit:tlg1275,"Cleostratus, Tenedius,  6. bzw. 4./3. Jh. v. Chr.",600 BCE-500 BCE
urn:cts:greekLit:tlg2305,Clidemus Phil.,500 BCE
urn:cts:greekLit:tlg1276,"Clidemus, Atheniensis, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg2441,Clinias Historicus,300 BCE
urn:cts:greekLit:tlg1277,"Clinias, Tarentinus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1278,Cleitarchus,Unknown
urn:cts:greekLit:tlg1279,"Clitarchus, Alexandrinus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1280,"Clitomachus, Carthaginiensis, 187/186 - 110/109 v. Chr.",200 BCE
urn:cts:greekLit:tlg2190,Clitonymus Historicus 1./2. Jh,Unknown
urn:cts:greekLit:tlg1281,"Clitophon Rhodius, 1./2. Jh. v. Chr.",Unknown
urn:cts:greekLit:tlg1282,Clytus Milesius 4./3. Jh. v. Chr.,400 BCE-300 BCE
urn:cts:greekLit:tlg4244,Cocondrius,Unknown
urn:cts:greekLit:tlg1283,"Colotes, of Lampsacus",400 BCE-300 BCE
urn:cts:greekLit:tlg4081,"Colluthus, of Lycopolis",500 CE-600 CE
urn:cts:greekLit:tlg1841,"Comanus, of Naucratis",200 BCE
urn:cts:greekLit:tlg2632,"Comarius, Alchemista",100 CE?
urn:cts:greekLit:tlg4058,"Cometas, Chartularius, 9./10. Jh",1000 CE-1100 CE
urn:cts:greekLit:tlg4059,"Cometas, Grammaticus, 9./10. Jh",1000 CE-1100 CE
urn:cts:greekLit:tlg4060,"Cometas, Scholasticus, 9./10. Jh",1000 CE-1100 CE
urn:cts:greekLit:tlg0408,Comica Adespota (CAF),Varia
urn:cts:greekLit:tlg0659,Comica Adespota (Supp. Com.),Varia
urn:cts:greekLit:tlg2703,"Comnena, Anna, 1083-1148/53",1200 CE
urn:cts:greekLit:tlg1285,"Conon, fl. 36 B.C.-17 A.D.",100 BCE-100 CE
urn:cts:greekLit:tlg9014,"Constantine, of Rhodes",900 CE-1000 CE
urn:cts:greekLit:tlg9015,Constantinus Siculus 9. Jh,900 CE
urn:cts:greekLit:tlg0294,Corinna,500 BCE-300 BCE
urn:cts:greekLit:tlg0153,"Cornelius, Longus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0654,"Cornutus, Lucius Annaeus, 1st cent.",100 CE
urn:cts:greekLit:tlg1286,Corpus Hermeticum,200 CE-400 CE
urn:cts:greekLit:tlg4061,"Cosmas, Indicopleustes, fl. 6th cent",600 CE
urn:cts:greekLit:tlg1287,"Crantor, ca. 344 - ca. 275 v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg1288,"Craterus, of Macedon, 321-ca. 255 B.C.",300 BCE
urn:cts:greekLit:tlg0433,"Crates, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1289,Crates Atheniensis 1. Jh. v. Chr.,100 BCE
urn:cts:greekLit:tlg0336,"Crates, ca. 360 B.C.-ca. 280 B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg0623,Cratetis Epistulae Epist.,400 BCE-300 BCE
urn:cts:greekLit:tlg1290,"Crates, Mallotes, 2nd cent. B.C.",200 BCE
urn:cts:greekLit:tlg0657,"Crateuas, Medicus, 2./1. Jh. v. Chr.",200 BCE-100 BCE
urn:cts:greekLit:tlg0434,"Cratinus, d. ca. 420 B.C.",500 BCE
urn:cts:greekLit:tlg0435,"Cratinus, Iunior, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1907,"Cratippus, of Athens, 4th cent.",400 BCE
urn:cts:greekLit:tlg2291,"Cratylus, Philosophus, v5./4. Jh.",500 BCE-400 BCE
urn:cts:greekLit:tlg2508,Creon Historicus ca. 4. Jh. v. Chr.,400 BCE
urn:cts:greekLit:tlg1291,"Creophylus, Ephesius, v400/200",400 BCE-200 BCE
urn:cts:greekLit:tlg1994,"Crepereius, Calpurnianus, 2. Jh",200 CE
urn:cts:greekLit:tlg0154,Crinagoras b. ca. 70 B.C.,100 BCE
urn:cts:greekLit:tlg1293,"Crinis, Stoicus, 2. Jh. v. Chr.",200 BCE-200 CE
urn:cts:greekLit:tlg0319,"Critias, ca. 460-ca. 403 B.C.",500 BCE
urn:cts:greekLit:tlg0436,"Crito, Comicus,  2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg0685,"Crito, Medicus,  1./2. Jh.",100 CE-200 CE
urn:cts:greekLit:tlg1867,"Crito, Medicus,  1./2. Jh.",100 CE-200 CE
urn:cts:greekLit:tlg1292,"Crito, Philosophus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg2552,"Critolaus, Historicus, ca. 1.Jh.v.Chr.",100 BCE
urn:cts:greekLit:tlg1294,Critolaus Phaselinus ca. v2. Jh.,200 CE
urn:cts:greekLit:tlg0437,"Crobylus, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0845,Ctesias,500 BCE-400 BCE
urn:cts:greekLit:tlg2171,"Ctesicles, Historicus, 3./4. Jh",300 CE-400 CE
urn:cts:greekLit:tlg2201,PMG,100 CE-200 CE
urn:cts:greekLit:tlg2657,"Ctesippus, Historicus, 1./2. Jh",100 CE-200 CE
urn:cts:greekLit:tlg0368,"Cydias, Lyricus, 6./5. Jh. v. Chr.",600 BCE-500 BCE
urn:cts:greekLit:tlg0156,"Cyllenius, Epigrammaticus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg1482,Kiranus,ante 100 CE-200 CE
urn:cts:greekLit:tlg1296,Cypria,800 BCE-600 BCE
urn:cts:greekLit:tlg0157,"Cyrillus, Epigrammaticus, 1. Jh. v. Chr./1. Jh. n. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg2110,"Cyril, Saint, Bishop of Jerusalem, approximately 315-386",400 CE
urn:cts:greekLit:tlg4090,"Cyril, Saint, Patriarch of Alexandria, approximately 370-444",400 CE-500 CE
urn:cts:greekLit:tlg4055,"Cyrus, Panopolitanus, gest. ca. 457 n. Chr.",500 CE
urn:cts:greekLit:tlg2454,"Dalion, Historicus, v4./3. Jh",400 BCE-300 BCE
urn:cts:greekLit:tlg2482,"Daimachus, Plataeeus,  3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0158,"Damagetus, Epigrammaticus,  3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg4066,"Damaskios, ca. 480-ca. 550",500 CE
urn:cts:greekLit:tlg1868,"Damastes, Sigeus, 5. Jh. v. Chr",500 BCE
urn:cts:greekLit:tlg2627,"Damianus, Larissaeus, 4. Jh. n. Chr.",400 CE
urn:cts:greekLit:tlg4067,"Damocharis, Cous, fl.6. Jh.",600 CE
urn:cts:greekLit:tlg0848,"Damocrates, Servilius, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2493,Damocritus Historicus 1. Jh. v. Chr./1. Jh. n. Chr.,100 BCE-100 CE
urn:cts:greekLit:tlg2273,Damon Historicus ca. 3. Jh. n. Chr.,300 CE
urn:cts:greekLit:tlg2244,Damon and Phintias,400 BCE
urn:cts:greekLit:tlg2232,Damon Atheniensis v5. Jh.,500 BCE
urn:cts:greekLit:tlg7000a,"Damostratus, Epigrammaticus,  1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0438,"Damoxenus, Comicus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg4021,"David, the Invincible",600 CE
urn:cts:greekLit:tlg2326,"Deiochus, Cyzicenus,  5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1989,"Dellius, Quintus, 1. Jh. v. Chr",100 BCE
urn:cts:greekLit:tlg0535,"Demades, ca. 380-319 B.C.",400 BCE
urn:cts:greekLit:tlg1812,"Demaratus, Historicus, 3./2. Jh. v. Chr",300 BCE-200 BCE
urn:cts:greekLit:tlg0721,"Demetrius, Apamensis, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg4357,"Demetrius, Astrologus, ca. 4. Jh. n. Chr.",400 CE-500 CE
urn:cts:greekLit:tlg0159,"Demetrius Bithynius, 2. Jh. v. Chr",Unknown
urn:cts:greekLit:tlg1957,Demetrius Byzantius v3. Jh,300 BCE
urn:cts:greekLit:tlg1917,Demetrius Callatinus,300 BCE-200 BCE
urn:cts:greekLit:tlg1901,"Demetrius Iliensis ca. 2.Jh.n.Chr.",0 CE-200 CE
urn:cts:greekLit:tlg0440,"Demetrius, Iunior, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0439,"Demetrius, Comicus,  5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1300,"Demetrius, Lacon, 2nd cent. B.C.",200 BCE
urn:cts:greekLit:tlg0613,Demetrius,100 BCE-100 CE
urn:cts:greekLit:tlg0624,"Demetrius, of Phaleron, b. ca. 350 B.C.",400 BCE
urn:cts:greekLit:tlg1298,"Demetrius, of Phaleron, b. ca. 350 B.C. (attributed author)",Unknown
urn:cts:greekLit:tlg1995,"Demetrius, Sagalassensis, 2. Jh",200 CE
urn:cts:greekLit:tlg2511,"Demetrius, Salaminius, Person der Antike",400 BCE
urn:cts:greekLit:tlg1301,"Demetrius, Troezenius, 1. Jh. v. Chr./1. Jh. n. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg1303,"Demochares, ca. 360-275 B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg0160,Demiurgus Epigrammaticus,unknown
urn:cts:greekLit:tlg0161,"Democritus, Epigrammaticus, ca. 3. Jh. n. Chr",300 CE
