urn,author,date
urn:cts:greekLit:tlg0594,"Alexander, Numenii, 2. Jh.",200 CE
urn:cts:greekLit:tlg0744,"Alexander, of Tralles, ca. 525-ca. 605",600 CE
urn:cts:greekLit:tlg0042,Alexander the Great,400 BCE
urn:cts:greekLit:tlg2556,"Alexarchus, Historicus, 1./2. Jh",100 CE-200 CE
urn:cts:greekLit:tlg0402,"Alexis, ca. 372-270 B.C.",400 BCE
urn:cts:greekLit:tlg0707,"Alexis, Samius, v3./2. Jh",300 BCE-200 BCE
urn:cts:greekLit:tlg2285,"Alketas, 319 B.C.",400 BCE
urn:cts:greekLit:tlg0108,"Alpheus, Mytilenensis, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2135,"Alypius, Musicus, 3./4. Jh.",300 CE-400 CE
urn:cts:greekLit:tlg2219,"Amelesagoras, Atheniensis, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg0403,"Amipsias, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg0109,"Ammianus, Epigrammaticus, 1./2. Jh.",100 CE-200 CE
urn:cts:greekLit:tlg2068,"Ammon, Aegyptius, 4. Jh.",400 CE
urn:cts:greekLit:tlg0110,"Ammonides Epigrammaticus, ca. 3. Jh. v. Chr",Unknown
urn:cts:greekLit:tlg0289,"Ammonius, Epigrammaticus, 5. Jh. n. Chr.",500 CE
urn:cts:greekLit:tlg0708,"Ammonius, Grammaticus,1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg4016,"Ammonius, Hermiae",500 CE/600 CE
urn:cts:greekLit:tlg2445,Amometus Historicus 4./3. Jh. v. Chr,400 BCE-300 BCE
urn:cts:greekLit:tlg2699,"Amphicrates, Historicus, v1. Jh",ante 200 CE
urn:cts:greekLit:tlg2112,"Amphilochius, Saint, Bishop of Iconium, active 373-394",400 CE
urn:cts:greekLit:tlg2271,"Amphion, Thespiensis, v1. Jh. / 1. Jh",100 BCE-100 CE
urn:cts:greekLit:tlg0404,"Amphis, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0223,Amyclas Philosophus,400 BCE
urn:cts:greekLit:tlg2649,"Amyntas, Epigrammaticus,v3./2. Jh",300 BCE-200 BCE
urn:cts:greekLit:tlg0037,"Anacharsis, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg0237,Anacreon,600 BCE/500 BCE
urn:cts:greekLit:tlg4150,Anacreontea,100 CE-600 CE
urn:cts:greekLit:tlg0238,"Ananius, Iambographus, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg9005,"Anastasius, Traulus, Person der Antike",1000 CE
urn:cts:greekLit:tlg2577,"Anatolius, Saint, Bishop of Laodicea",300 CE
urn:cts:greekLit:tlg0713,Anaxagoras,600 BCE-500 BCE
urn:cts:greekLit:tlg0405,"Anaxandrides, Comicus, 4 Jh. V. Chr.",400 BCE
urn:cts:greekLit:tlg2284,"Anaxandridas, Delphicus, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg0714,"Anaxarchus, Abderita, um 340/337 v. Chr.",400 BCE
urn:cts:greekLit:tlg2210,"Anaxicrates, Historicus, v1. Jh. / 3. Jh.",100 BCE-300 BCE?
urn:cts:greekLit:tlg0406,"Anaxilas, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1120,Anaximander Iunior 4. Jh. v. Chr.,400 BCE
urn:cts:greekLit:tlg0725,Anaximander,700 BCE-600 BCE
urn:cts:greekLit:tlg0617,"Anaximenes, of Miletus",600 BCE
urn:cts:greekLit:tlg0547,"Anaximenes,  of Lampsacus",400 BCE
urn:cts:greekLit:tlg0407,"Anaxippus, Comicus, um 307/285 v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0027,"Andocides, ca. 440-ca. 390 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg2393,"Andreas, Panormitanus, v3./2. Jh",300 BCE-200 BCE
urn:cts:greekLit:tlg2346,"Andriscus, Historicus, v4./3. Jh",400 BCE-300 BCE
urn:cts:greekLit:tlg2412,"Androetas, Tenedius, v4./3. Jh",400 BCE-300 BCE
urn:cts:greekLit:tlg0280,"Andromachus, the Elder",100 CE
urn:cts:greekLit:tlg0772,"Andromachus, Minor, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2172,"Andron, Alexandrinus,",200 BCE-100 BCE
urn:cts:greekLit:tlg1123,Andron Halicarnassensis 4. Jh. v. Chr.,400 BCE
urn:cts:greekLit:tlg4347,"Andron, Historicus, ca. 3.Jh.v.Chr",300 BCE
urn:cts:greekLit:tlg2536,"Andron, Teius, 4. Jh. v. Chr",400 BCE
