work,words
urn:cts:greekLit:tlg0007.tlg094,5759
urn:cts:greekLit:tlg0007.tlg095,5441
urn:cts:greekLit:tlg0007.tlg096,6042
urn:cts:greekLit:tlg0007.tlg097,6621
urn:cts:greekLit:tlg0007.tlg098,2162
urn:cts:greekLit:tlg0007.tlg099,862
urn:cts:greekLit:tlg0007.tlg100,852
urn:cts:greekLit:tlg0007.tlg101,5871
urn:cts:greekLit:tlg0007.tlg102,3714
urn:cts:greekLit:tlg0007.tlg103,2249
urn:cts:greekLit:tlg0007.tlg104,3659
urn:cts:greekLit:tlg0007.tlg105,996
urn:cts:greekLit:tlg0007.tlg106,3969
urn:cts:greekLit:tlg0007.tlg107,9366
urn:cts:greekLit:tlg0007.tlg108,3423
urn:cts:greekLit:tlg0007.tlg109,11501
urn:cts:greekLit:tlg0007.tlg110,3914
urn:cts:greekLit:tlg0007.tlg111,1945
urn:cts:greekLit:tlg0007.tlg112,60828
urn:cts:greekLit:tlg0007.tlg113,10849
urn:cts:greekLit:tlg0007.tlg114,1815
urn:cts:greekLit:tlg0007.tlg115,1531
urn:cts:greekLit:tlg0007.tlg116,1590
urn:cts:greekLit:tlg0007.tlg117,6743
urn:cts:greekLit:tlg0007.tlg118,12441
urn:cts:greekLit:tlg0007.tlg119,548
urn:cts:greekLit:tlg0007.tlg120,2007
urn:cts:greekLit:tlg0007.tlg121,9094
urn:cts:greekLit:tlg0007.tlg122,718
urn:cts:greekLit:tlg0007.tlg123,8969
urn:cts:greekLit:tlg0007.tlg125,4754
urn:cts:greekLit:tlg0007.tlg126,12688
urn:cts:greekLit:tlg0007.tlg127,5009
urn:cts:greekLit:tlg0007.tlg128,1626
urn:cts:greekLit:tlg0007.tlg129,11882
urn:cts:greekLit:tlg0007.tlg130,3454
urn:cts:greekLit:tlg0007.tlg131,1587
urn:cts:greekLit:tlg0007.tlg132,1245
urn:cts:greekLit:tlg0007.tlg133,6182
urn:cts:greekLit:tlg0007.tlg134,9442
urn:cts:greekLit:tlg0007.tlg135,1192
urn:cts:greekLit:tlg0007.tlg136,12073
urn:cts:greekLit:tlg0007.tlg137,502
urn:cts:greekLit:tlg0007.tlg138,13798
urn:cts:greekLit:tlg0007.tlg139,9714
urn:cts:greekLit:tlg0007.tlg140,9894
urn:cts:greekLit:tlg0007.tlg141,1238
